id,name,logo,url
3125,(ALGERIA) CNA TV |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/907894234/index.m3u8
2709,(ALGERIA) EL BILAD TV |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/1057827735/index.m3u8
4195,[ALG] JEEL DZ TV HD |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/2974091784/index.m3u8
4430,[GLF] OMAN 1 TV |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/1976195553/index.m3u8
4146,[GLF] OMAN 2 MOBASHER |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3210759158/index.m3u8
5677,[GLF] OMAN 3 THAKAFEYA |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3113342636/index.m3u8
5055,[GLF] OMAN 4 SPORT |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3722202069/index.m3u8
5488,[KSA] KSA SSC 1 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/4122540197/index.m3u8
3968,[KSA] KSA SSC 2 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/2987950709/index.m3u8
5259,[KSA] KSA SSC 3 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/2407050181/index.m3u8
4543,[KSA] KSA SSC 4 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/1029208021/index.m3u8
5066,[KSA] KSA SSC 5 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3694181/index.m3u8
6371,[KSA] KSA SSC 6 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/1201153205/index.m3u8
5005,[KSA] KSA SSC 7 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/2063076613/index.m3u8
6277,[SHM*] JORDAN 7 STARS |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/1799382362/index.m3u8
5072,[SHM*] JORDAN A1 |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3540534477/index.m3u8
6548,[SHM*] JORDAN AGHANI |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3937346107/index.m3u8
6549,[SHM*] JORDAN AL HAQIQA |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/633029850/index.m3u8
4431,[SHM*] JORDAN AL MAMLAKA |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/3013553456/index.m3u8
4953,[SHM*] JORDAN AMMAN TV |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/158996496/index.m3u8
5219,[SHM*] JORDAN AMN |D,https://raw.githubusercontent.com/MEClouds/iptv-channels/main/pngegg.png,https://oha.to/play/2064444791/index.m3u8
